iter	Passed	Remaining
0	138	138768
1	143	71584
2	148	49200
3	152	37949
4	156	31058
5	159	26465
6	163	23179
7	167	20793
8	171	18879
9	175	17404
10	179	16151
11	182	14993
12	184	14009
13	186	13142
14	188	12365
15	190	11698
16	192	11105
17	193	10553
18	194	10056
19	196	9614
20	197	9214
21	199	8846
22	200	8503
23	201	8188
24	202	7904
25	203	7638
26	205	7390
27	206	7155
28	207	6938
29	208	6733
30	209	6542
31	210	6364
32	211	6196
33	212	6040
34	213	5890
35	214	5747
36	215	5611
37	216	5484
38	217	5362
39	218	5245
40	219	5136
41	220	5030
42	221	4932
43	222	4838
44	223	4746
45	224	4658
46	225	4575
47	226	4495
48	227	4418
49	228	4343
50	229	4273
51	230	4205
52	231	4139
53	232	4074
54	233	4014
55	234	3954
56	235	3899
57	236	3845
58	237	3792
59	238	3740
60	239	3690
61	240	3643
62	241	3596
63	242	3552
64	243	3508
65	244	3466
66	246	3426
67	247	3386
68	248	3348
69	249	3309
70	250	3272
71	251	3237
72	252	3203
73	253	3168
74	254	3134
75	255	3103
76	256	3071
77	257	3040
78	258	3010
79	259	2981
80	260	2954
81	261	2926
82	262	2894
83	263	2868
84	264	2842
85	265	2817
86	266	2792
87	267	2769
88	268	2746
89	269	2723
90	270	2700
91	271	2679
92	272	2657
93	273	2636
94	274	2616
95	275	2596
96	276	2576
97	277	2556
98	278	2537
99	279	2518
100	280	2499
101	281	2482
102	282	2464
103	283	2446
104	284	2428
105	285	2411
106	286	2394
107	287	2377
108	288	2362
109	290	2346
110	291	2331
111	292	2315
112	293	2300
113	293	2284
114	295	2270
115	296	2256
116	296	2240
117	297	2226
118	298	2212
119	299	2199
120	301	2187
121	301	2172
122	302	2159
123	303	2146
124	304	2133
125	305	2122
126	306	2109
127	307	2097
128	308	2086
129	310	2075
130	311	2064
131	312	2054
132	313	2043
133	314	2032
134	315	2022
135	316	2012
136	317	2002
137	318	1992
138	320	1982
139	321	1972
140	322	1963
141	322	1951
142	323	1941
143	325	1931
144	326	1922
145	327	1913
146	328	1903
147	329	1895
148	330	1886
149	331	1878
150	332	1869
151	333	1861
152	334	1853
153	335	1844
154	336	1836
155	338	1829
156	339	1821
157	340	1813
158	341	1805
159	342	1797
160	343	1787
161	344	1779
162	345	1771
163	346	1764
164	347	1756
165	348	1749
166	349	1742
167	350	1735
168	351	1728
169	352	1721
170	353	1714
171	354	1707
172	355	1700
173	356	1694
174	358	1687
175	359	1681
176	360	1674
177	361	1667
178	362	1661
179	363	1655
180	364	1650
181	365	1644
182	366	1637
183	368	1632
184	369	1626
185	370	1619
186	371	1613
187	372	1607
188	373	1602
189	374	1597
190	375	1591
191	377	1586
192	378	1582
193	379	1576
194	380	1572
195	382	1567
196	383	1561
197	384	1556
198	385	1550
199	386	1545
200	387	1539
201	388	1534
202	389	1528
203	390	1524
204	391	1519
205	393	1514
206	394	1509
207	395	1504
208	396	1500
209	397	1495
210	398	1490
211	399	1485
212	400	1480
213	401	1475
214	402	1471
215	404	1466
216	405	1461
217	406	1457
218	407	1452
219	408	1447
220	409	1443
221	410	1438
222	411	1434
223	412	1430
224	414	1426
225	415	1421
226	416	1417
227	417	1412
228	418	1408
229	419	1404
230	420	1400
231	421	1395
232	422	1392
233	424	1388
234	425	1384
235	426	1380
236	427	1377
237	428	1373
238	430	1369
239	431	1365
240	432	1362
241	433	1358
242	434	1354
243	436	1350
244	437	1347
245	438	1343
246	439	1339
247	440	1335
248	441	1331
249	442	1328
250	443	1324
251	445	1321
252	446	1317
253	447	1313
254	448	1310
255	449	1306
256	450	1303
257	452	1300
258	453	1296
259	454	1292
260	455	1289
261	456	1285
262	457	1282
263	458	1278
264	459	1275
265	460	1271
266	462	1268
267	463	1265
268	464	1262
269	465	1258
270	466	1255
271	467	1252
272	469	1249
273	470	1246
274	471	1243
275	472	1240
276	473	1237
277	475	1233
278	476	1230
279	477	1227
280	478	1224
281	479	1221
282	480	1218
283	481	1215
284	483	1212
285	484	1209
286	485	1206
287	486	1203
288	488	1200
289	489	1197
290	490	1194
291	491	1191
292	492	1188
293	493	1186
294	494	1182
295	496	1179
296	497	1177
297	498	1174
298	499	1171
299	500	1168
300	501	1165
301	503	1162
302	504	1159
303	505	1157
304	506	1154
305	507	1151
306	509	1150
307	510	1147
308	511	1144
309	513	1142
310	514	1139
311	515	1136
312	516	1134
313	517	1131
314	519	1128
315	520	1126
316	521	1123
317	522	1121
318	524	1118
319	525	1116
320	526	1113
321	527	1110
322	528	1108
323	529	1105
324	531	1103
325	532	1100
326	533	1097
327	534	1095
328	535	1092
329	536	1090
330	538	1087
331	539	1085
332	540	1082
333	541	1079
334	542	1077
335	543	1075
336	545	1072
337	546	1070
338	547	1067
339	548	1065
340	549	1062
341	550	1059
342	552	1057
343	553	1055
344	554	1052
345	555	1050
346	557	1048
347	558	1046
348	559	1043
349	560	1041
350	562	1039
351	563	1036
352	564	1034
353	565	1032
354	566	1029
355	567	1027
356	569	1025
357	570	1022
358	571	1020
359	572	1018
360	574	1016
361	575	1014
362	576	1012
363	577	1009
364	579	1007
365	580	1005
366	581	1003
367	582	1001
368	584	998
369	585	996
370	586	994
371	587	992
372	588	989
373	590	987
374	591	985
375	592	983
376	593	981
377	594	979
378	596	976
379	597	974
380	598	972
381	599	970
382	600	968
383	602	965
384	603	963
385	604	961
386	605	959
387	606	957
388	608	955
389	609	952
390	610	950
391	611	948
392	612	946
393	613	944
394	615	942
395	616	939
396	617	937
397	618	935
398	619	933
399	621	931
400	622	929
401	623	927
402	624	925
403	626	923
404	627	921
405	628	919
406	629	917
407	630	915
408	632	913
409	633	911
410	634	909
411	635	907
412	636	905
413	638	903
414	639	901
415	640	899
416	641	897
417	642	895
418	644	893
419	645	891
420	646	889
421	647	887
422	648	885
423	650	883
424	651	881
425	652	879
426	653	877
427	655	875
428	656	873
429	657	871
430	658	869
431	659	867
432	661	865
433	662	863
434	663	861
435	664	860
436	666	858
437	667	856
438	668	854
439	669	852
440	671	850
441	672	848
442	673	846
443	674	844
444	675	842
445	677	840
446	678	839
447	679	837
448	680	835
449	681	833
450	682	831
451	684	829
452	685	827
453	686	825
454	687	823
455	689	822
456	690	820
457	691	818
458	692	816
459	693	814
460	695	812
461	696	810
462	697	808
463	698	807
464	699	805
465	701	803
466	702	801
467	703	799
468	704	797
469	706	796
470	707	794
471	708	792
472	709	790
473	710	788
474	712	786
475	713	785
476	714	783
477	715	781
478	716	779
479	718	777
480	719	775
481	720	774
482	721	772
483	722	770
484	724	768
485	725	767
486	726	765
487	727	763
488	728	761
489	730	759
490	731	758
491	732	756
492	733	754
493	735	752
494	736	751
495	737	749
496	738	747
497	740	746
498	741	744
499	742	742
500	743	740
501	744	738
502	746	737
503	747	735
504	748	733
505	749	731
506	750	730
507	751	728
508	753	726
509	754	724
510	755	723
511	756	721
512	758	719
513	759	717
514	760	716
515	761	714
516	762	712
517	764	711
518	765	709
519	766	707
520	767	705
521	768	704
522	770	702
523	771	700
524	772	698
525	773	697
526	774	695
527	776	693
528	777	692
529	778	690
530	779	688
531	780	687
532	782	685
533	783	683
534	784	682
535	786	680
536	787	678
537	788	677
538	789	675
539	791	673
540	792	672
541	793	670
542	794	668
543	796	667
544	797	665
545	798	664
546	800	662
547	801	661
548	802	659
549	803	657
550	805	656
551	806	654
552	807	652
553	809	651
554	810	649
555	811	648
556	813	646
557	814	645
558	815	643
559	816	641
560	817	640
561	819	638
562	820	636
563	821	635
564	822	633
565	824	632
566	825	630
567	826	628
568	828	627
569	829	625
570	831	624
571	832	622
572	833	621
573	834	619
574	836	618
575	837	616
576	838	614
577	839	613
578	841	611
579	842	610
580	843	608
581	845	607
582	847	606
583	848	604
584	850	603
585	851	601
586	852	599
587	853	598
588	854	596
589	856	594
590	857	593
591	858	591
592	860	590
593	862	589
594	863	587
595	864	586
596	865	584
597	867	582
598	868	581
599	869	579
600	871	578
601	872	576
602	873	575
603	874	573
604	876	572
605	877	570
606	878	568
607	879	567
608	881	565
609	882	564
610	883	562
611	885	561
612	886	559
613	887	557
614	888	556
615	890	554
616	891	553
617	892	551
618	893	550
619	895	548
620	896	547
621	897	545
622	898	543
623	900	542
624	901	540
625	902	539
626	904	537
627	905	536
628	906	534
629	907	533
630	909	531
631	910	530
632	911	528
633	912	527
634	914	525
635	915	523
636	916	522
637	917	520
638	919	519
639	920	517
640	921	516
641	922	514
642	924	513
643	925	511
644	926	510
645	927	508
646	929	506
647	930	505
648	931	503
649	933	502
650	934	500
651	935	499
652	936	497
653	938	496
654	939	494
655	940	493
656	941	491
657	943	490
658	944	488
659	945	487
660	946	485
661	948	484
662	949	482
663	950	481
664	952	479
665	953	478
666	954	476
667	956	475
668	957	473
669	958	472
670	960	470
671	961	469
672	962	467
673	964	466
674	965	464
675	966	463
676	968	461
677	969	460
678	970	458
679	972	457
680	973	455
681	974	454
682	975	452
683	977	451
684	978	450
685	979	448
686	981	447
687	982	445
688	984	444
689	985	442
690	986	441
691	988	439
692	989	438
693	990	436
694	991	435
695	993	433
696	994	432
697	995	430
698	997	429
699	998	427
700	1000	426
701	1001	425
702	1003	423
703	1004	422
704	1005	420
